[INFO ] 2020-12-07 16:19:56.214 [Test worker] - 0 containers and 1 tests were excluded because tags do not match tag expression(s): [GetCards]
[INFO ] 2020-12-07 16:19:56.388 [ForkJoinPool-1-worker-1] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-07 16:19:59.261 [Forwarding newSession on session null to remote] - Detected dialect: W3C
[INFO ] 2020-12-07 16:20:13.196 [ForkJoinPool-1-worker-1] - Total Card(s) on Page: 15
[INFO ] 2020-12-07 16:20:26.239 [ForkJoinPool-1-worker-1] - Remote Job(s) Posted Count: 12
| QA Engineer (Remote) ( Only W2 candidiates) | ClientSolv Technologies | Just posted |
| Software Quality Assurance Lead | Arctic IT | Just posted |
| Software Quality Assurance Lead | Arctic Information Technology, Inc. | Just posted |
| Senior QA Engineer (Freelance, Remote, NO C2C) | Braintrust | Today |
| Software Quality Analyst | Seamless.AI | 2 days ago |
| SR Automation Test Developer | Mayo Clinic | 2 days ago |
| QA Engineer | IRL | 3 days ago |
| Quality Assurance Engineer | NRC Health | 3 days ago |
| Software Quality Assurance Engineer (remote) | CNSI | 3 days ago |
| Senior SQA Engineer | Blackbird Technical Staffing | 3 days ago |
| Software QA Analyst | ARGO | 3 days ago |
| Director of Quality Assurance | CBTS | 3 days ago |
